Admin1,Admin2,Population - 2025," No. of Male
children under 5 "," No. of Female
children under 5 "," No. of Male children 
aged 5 - 17 years "," No. of Female 
children aged 5 - 17 years ",Total_Under_17
Abyei Administrative Area,Abyei Administrative Area,145358,13954,12937,25728,25147,77766
Central Equatoria,Juba,570834,42242,55599,87908,90763,276512
Central Equatoria,Kajo-keji,257989,4205,7765,14834,14989,41793
Central Equatoria,Lainya,119155,12511,12035,13107,12392,50045
Central Equatoria,Morobo,136697,11141,14353,24332,22282,72108
Central Equatoria,Terekeka,266693,23602,22162,48271,43738,137773
Central Equatoria,Yei,327602,30729,39967,47830,61917,180443
Eastern Equatoria,Budi,108474,11238,10609,20502,18766,61115
Eastern Equatoria,Ikotos,111148,12904,11671,17561,17339,59475
Eastern Equatoria,Kapoeta East,175078,23110,15249,30043,29763,98165
Eastern Equatoria,Kapoeta North,162158,17675,17351,34378,27080,96484
Eastern Equatoria,Kapoeta South,105511,9813,10762,23086,21630,65291
Eastern Equatoria,Lafon,163767,19816,22109,23910,30133,95968
Eastern Equatoria,Magwi,314109,40834,28835,51420,46488,167577
Eastern Equatoria,Torit,65844,7045,7704,9679,12115,36543
Jonglei,Akobo,238042,22305,18234,42133,37849,120521
Jonglei,Ayod,205709,18205,19789,34559,31062,103615
Jonglei,Bor South,354711,47283,32066,58882,54980,193211
Jonglei,Canal/Pigi,111613,10134,7154,15737,17188,50213
Jonglei,Duk,206545,23133,19787,36352,32841,112113
Jonglei,Fangak,213029,21069,23646,44949,34724,124388
Jonglei,Nyirol,153295,13797,11727,33418,29341,88283
Jonglei,Pibor,237649,32558,27805,32796,36836,129995
Jonglei,Pochalla,82568,11229,8521,16101,14367,50218
Jonglei,Twic East,129822,9568,10827,19733,22459,62587
Jonglei,Uror,205594,29523,26522,29606,36596,122247
Lakes,Awerial,144223,9144,8798,32739,33748,84429
Lakes,Cueibet,189199,14266,8060,42570,38597,103493
Lakes,Rumbek Centre,222497,18045,12393,49172,50284,129894
Lakes,Rumbek East,180970,16794,14152,33099,36918,100963
Lakes,Rumbek North,75047,7167,7325,15234,16210,45936
Lakes,Wulu,92247,7426,6513,20018,16973,50930
Lakes,Yirol East,165810,17908,15918,26364,28354,88544
Lakes,Yirol West,181325,16174,14143,30281,37172,97770
Northern Bahr el Ghazal,Aweil Centre,78958,13976,10975,11109,10501,46561
Northern Bahr el Ghazal,Aweil East,395769,33799,36965,80262,84299,235325
Northern Bahr el Ghazal,Aweil North,185929,14800,12606,37595,43879,108880
Northern Bahr el Ghazal,Aweil South,151604,16676,13129,24029,28653,82487
Northern Bahr el Ghazal,Aweil West,223173,22764,25888,42626,43072,134350
Unity,Abiemnhom,60349,5993,5142,11056,9656,31847
Unity,Guit,73878,8644,7454,13749,13889,43736
Unity,Koch,115158,10019,8245,19738,23262,61264
Unity,Leer,86784,7941,7290,14493,15795,45519
Unity,Mayendit,74335,7106,5902,15001,13083,41092
Unity,Mayom,170251,19749,15816,28262,33540,97367
Unity,Panyijiar,126239,9619,12536,23253,28151,73559
Unity,Pariang,143832,17691,13851,24451,24020,80013
Unity,Rubkona,361802,36904,35891,58250,60493,191538
Upper Nile,Baliet,76145,5825,4378,19112,17209,46524
Upper Nile,Fashoda,83775,8629,7205,16085,13739,45658
Upper Nile,Longochuk,80526,9502,6780,14052,14173,44507
Upper Nile,Luakpiny/Nasir,350742,39634,41388,58048,64186,203256
Upper Nile,Maban,84550,6798,7178,17248,17544,48768
Upper Nile,Maiwut,147823,20695,14501,26327,19069,80592
Upper Nile,Malakal,204041,8529,6325,18731,13752,47337
Upper Nile,Manyo,83853,8637,8075,8805,9308,34825
Upper Nile,Melut,134054,13808,13942,29760,25296,82806
Upper Nile,Panyikang,69656,2320,2111,7474,4604,16509
Upper Nile,Renk,210351,20215,16954,47750,37863,122782
Upper Nile,Ulang,167265,13164,10789,28937,32951,85841
Warrap,Gogrial East,138793,12686,12630,26926,25316,77558
Warrap,Gogrial West,347953,29193,23313,75889,65763,194158
Warrap,Tonj East,190959,15506,15239,40560,37237,108542
Warrap,Tonj North,271487,20579,22778,49139,46967,139463
Warrap,Tonj South,126289,8802,10419,23363,25068,67652
Warrap,Twic,291675,24501,17355,59210,63877,164943
Western Bahr el Ghazal,Jur River,293840,25594,32029,58092,57887,173602
Western Bahr el Ghazal,Raja,76633,7318,6100,15518,14100,43036
Western Bahr el Ghazal,Wau,345948,45665,42898,46703,60956,196222
Western Equatoria,Ezo,138291,8159,11865,23924,25376,69324
Western Equatoria,Ibba,68544,6073,4524,14189,11721,36507
Western Equatoria,Maridi,113864,11307,9587,18104,19095,58093
Western Equatoria,Mundri East,103283,10204,9419,16185,12807,48615
Western Equatoria,Mundri West,51413,4869,4668,11182,8380,29099
Western Equatoria,Mvolo,77611,8460,6209,15010,13582,43261
Western Equatoria,Nagero,61561,3700,3577,10835,8852,26964
Western Equatoria,Nzara,86370,8136,9760,14761,14165,46822
Western Equatoria,Tambura,122913,14332,12906,16962,20035,64235
Western Equatoria,Yambio,173972,17763,17745,29575,25400,90483
