State,County,Payam,School_Name,School_Type,Total_Primary_Students,Total_Secondary_Students,Total_Students
Amadi,Mundri East County,Kediba,Bari Primary,Primary,0,0,0
Amadi,Mundri East County,Kediba,BEKENYE Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Dorowa Community Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Dosho Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Gwori Primary School,Primary,395,0,395
Amadi,Mundri East County,Kediba,Kanjanwa Primary,Primary,0,0,0
Amadi,Mundri East County,Kediba,Kediba Primary School,Primary,813,0,813
Amadi,Mundri East County,Kediba,Kediba Secondary School,Secondary,0,0,0
Amadi,Mundri East County,Kediba,Kokokago Community School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Koro-Kago Communiy School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Labiko community School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Larogora Community Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Lunjini Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Magyiri U. P. School,Primary,233,0,233
Amadi,Mundri East County,Kediba,Maniguru Community Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Mirigue Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Mirindani Primary School,Primary,238,0,238
Amadi,Mundri East County,Kediba,Wandi Primary School,Primary,0,0,0
Amadi,Mundri East County,Kediba,Wandi Tapari Primary School,Primary,0,0,0
Amadi,Mundri East County,Lakamadi,Kasiko,Primary,112,0,112
Amadi,Mundri East County,Lakamadi,Lakamadi Primary School,Primary,342,0,342
Amadi,Mundri East County,Lakamadi,Madu-ngama pri sch,Primary,186,0,186
Amadi,Mundri East County,Lakamadi,Mutala Primary School,Primary,247,0,247
Amadi,Mundri East County,Lakamadi,Tegye,Primary,478,0,478
Amadi,Mundri East County,Lozoh,Buagyi primary,Primary,0,0,0
Amadi,Mundri East County,Lozoh,delewana Primary School,Primary,112,0,112
Amadi,Mundri East County,Lozoh,Doroh Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Dr Pietro Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Fraser Cathedral Primary SChool,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Galanju SDA Primary School,Primary,290,0,290
Amadi,Mundri East County,Lozoh,Iyeba 2 Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Kalalayi Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Kasa Alokado primary,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Lanyi girls Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Lanyi Primary School,Primary,216,0,216
Amadi,Mundri East County,Lozoh,Lozoh Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Lui Girls National Secondary school,Secondary,0,160,160
Amadi,Mundri East County,Lozoh,Lui Primary School,Primary,592,0,592
Amadi,Mundri East County,Lozoh,Luka Ngabiri Memorial Primary School,PRE,0,0,0
Amadi,Mundri East County,Lozoh,Lunjini Girls academy,Primary,536,0,536
Amadi,Mundri East County,Lozoh,Mandikini Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Mirimududu Primary School,Primary,281,0,281
Amadi,Mundri East County,Lozoh,Miroloko Primary School,Primary,103,0,103
Amadi,Mundri East County,Lozoh,Molloh Sub Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Singirinwa Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Singo Community Primary School,Primary,0,0,0
Amadi,Mundri East County,Lozoh,Tedo Primary School,Primary,148,0,148
Amadi,Mundri East County,Lozoh,Udu Primary School,Primary,148,0,148
Amadi,Mundri East County,Lozoh,Wiroh Primary School,Primary,0,0,0
Amadi,Mundri East County,Minga,Agyi Primary School,Primary,0,0,0
Amadi,Mundri East County,Minga,Iyeba I Primary School,Primary,0,0,0
Amadi,Mundri East County,Minga,Jubani Primary,Primary,0,0,0
Amadi,Mundri East County,Minga,Minga Primary School,Primary,0,0,0
Amadi,Mundri East County,Minga,Moruari Primary,Primary,0,0,0
Amadi,Mundri East County,Witto,Jambo Secondary School,Secondary,0,71,71
Amadi,Mundri East County,Witto,Kporolo Primary School,Primary,239,0,239
Amadi,Mundri East County,Witto,Mariba Primary School,Primary,414,0,414
Amadi,Mundri East County,Witto,Mideh Primary School,Primary,260,0,260
Amadi,Mundri West County,Amadi,Amada centre Primary School,Primary,462,0,462
Amadi,Mundri West County,Amadi,Amadi II primary,Primary,286,0,286
Amadi,Mundri West County,Amadi,Bitti Primary School,Primary,219,0,219
Amadi,Mundri West County,Amadi,Kulundu Primary School,Primary,140,0,140
Amadi,Mundri West County,Amadi,Madiba SubPrimary School,Primary,286,0,286
Amadi,Mundri West County,Amadi,Osho Primary School,Primary,184,0,184
Amadi,Mundri West County,Bangalo,Bangolo,Primary,156,0,156
Amadi,Mundri West County,Bangalo,Diko Primary School,Primary,225,0,225
Amadi,Mundri West County,Bangalo,Ladiwa Primary School,Primary,0,0,0
Amadi,Mundri West County,Bangalo,Tore-Wandi Primary School,Primary,0,0,0
Amadi,Mundri West County,Kotobi,Bari Primary School,Primary,0,0,0
Amadi,Mundri West County,Kotobi,Karika Centre Primary School,Primary,615,0,615
Amadi,Mundri West County,Kotobi,Karika II Primary School,Primary,288,0,288
Amadi,Mundri West County,Kotobi,Kotobi Secondary School,Secondary,0,131,131
Amadi,Mundri West County,Kotobi,Kotobi Upper Primary School,Primary,510,0,510
Amadi,Mundri West County,Kotobi,Langua Primary School,Primary,436,0,436
Amadi,Mundri West County,Kotobi,Mandi Primary School,Primary,383,0,383
Amadi,Mundri West County,Kotobi,Medewu Primary School,Primary,0,0,0
Amadi,Mundri West County,Mundri,Abobo Primary School,Primary,0,0,0
Amadi,Mundri West County,Mundri,Ama-Alo Model Primary School,Primary,803,0,803
Amadi,Mundri West County,Mundri,Baya primary school,Primary,753,0,753
Amadi,Mundri West County,Mundri,Comprehensive Academy,Secondary,0,0,0
Amadi,Mundri West County,Mundri,Emma Primary School,Primary,574,0,574
Amadi,Mundri West County,Mundri,Emmanuel And Moni Primary School,Primary,208,0,208
Amadi,Mundri West County,Mundri,Foki Primary School,Primary,280,0,280
Amadi,Mundri West County,Mundri,Gloria Primary School,Primary,565,0,565
Amadi,Mundri West County,Mundri,Gullu I Primary School,Primary,235,0,235
Amadi,Mundri West County,Mundri,Hai Baraka Primary School,Primary,411,0,411
Amadi,Mundri West County,Mundri,Hai Malakal Primary School,Primary,575,0,575
Amadi,Mundri West County,Mundri,Janga Primary School (Goribalau),Primary,282,0,282
Amadi,Mundri West County,Mundri,Jarangala primary,Primary,0,0,0
Amadi,Mundri West County,Mundri,Lendreywa Primary School,Primary,369,0,369
Amadi,Mundri West County,Mundri,Marikalanga Primary School,Primary,552,0,552
Amadi,Mundri West County,Mundri,Mbara Primary School,Primary,456,0,456
Amadi,Mundri West County,Mundri,Miri-Magya Primary School,Primary,264,0,264
Amadi,Mundri West County,Mundri,Motherland Secondary school,Secondary,0,268,268
Amadi,Mundri West County,Mundri,Mundri Adventist Primary,Primary,1123,0,1123
Amadi,Mundri West County,Mundri,Mundri I primary,Primary,390,0,390
Amadi,Mundri West County,Mundri,Mundri II Primary School,Primary,740,0,740
Amadi,Mundri West County,Mundri,Mundri Secondary School,Secondary,0,236,236
Amadi,Mundri West County,Mundri,Mundri Women ALP Centre,ALP,0,0,0
Amadi,Mundri West County,Mundri,Noami Memorial Primary,Primary,0,0,0
Amadi,Mundri West County,Mundri,Nyau I Primary School,Primary,122,0,122
Amadi,Mundri West County,Mundri,Nyau II(Anigo) Primary School,Primary,0,0,0
Amadi,Mundri West County,Mundri,Okari Primary School,Primary,263,0,263
Amadi,Mundri West County,Mundri,Opaba Orphanage Primary School,Primary,216,0,216
Amadi,Mundri West County,Mundri,Sunrise Model Nursery School,NUR,0,0,391
Amadi,Mundri West County,Mundri,Talim Nursery And Primary School,Primary,331,0,331
Amadi,Mundri West County,Mundri,Teachers Union Secondary School,Secondary,0,394,394
Amadi,Mundri West County,Mundri,Yanga Pre- School,PRE,0,0,54
Amadi,Mvolo County,Bahr El Girindi,Babari Primary School,Primary,286,0,286
Amadi,Mvolo County,Bahr El Girindi,Bahr El Gindi Primary School,Primary,398,0,398
Amadi,Mvolo County,Bahr El Girindi,Bahr Grindi ALP,ALP,0,0,0
Amadi,Mvolo County,Bahr El Girindi,Bibikalau ALP Centre,ALP,0,0,0
Amadi,Mvolo County,Bahr El Girindi,Bitkalau Primary School,Primary,287,0,287
Amadi,Mvolo County,Bahr El Girindi,Daa Dokolu Primary School,Primary,284,0,284
Amadi,Mvolo County,Bahr El Girindi,Dimere Primary School,Primary,388,0,388
Amadi,Mvolo County,Bahr El Girindi,Dongoi BALP School,ALP,0,0,234
Amadi,Mvolo County,Bahr El Girindi,Donyikong Primary School,Primary,165,0,165
Amadi,Mvolo County,Bahr El Girindi,Kata Primary School,Primary,182,0,182
Amadi,Mvolo County,Bahr El Girindi,Kila ALP,ALP,0,0,0
Amadi,Mvolo County,Bahr El Girindi,Kulu Primary School,Primary,416,0,416
Amadi,Mvolo County,Bahr El Girindi,Lali II Primary School,Primary,312,0,312
Amadi,Mvolo County,Bahr El Girindi,Lei Bollo Primary School,Primary,270,0,270
Amadi,Mvolo County,Bahr El Girindi,Leibolo ALP Centre,ALP,0,0,0
Amadi,Mvolo County,Bahr El Girindi,Mokiri Primary School,Primary,236,0,236
Amadi,Mvolo County,Bahr El Girindi,Wowo BALP School,ALP,0,0,0
Amadi,Mvolo County,Bahr El Girindi,Wowo Primary School,Primary,486,0,486
Amadi,Mvolo County,Bogori,Bogori Community Girls School,ALP,0,0,156
Amadi,Mvolo County,Bogori,Bogori Primary School,Primary,354,0,354
Amadi,Mvolo County,Bogori,Dokorimbere Primary School,Primary,119,0,119
Amadi,Mvolo County,Bogori,Gira Primary School,Primary,452,0,452
Amadi,Mvolo County,Bogori,Kperikudu BALP School,ALP,0,0,192
Amadi,Mvolo County,Bogori,Kperikudu Primary School,Primary,286,0,286
Amadi,Mvolo County,Bogori,Mulutu Primary School,Primary,142,0,142
Amadi,Mvolo County,Dari,Dari Primary School,Primary,0,0,0
Amadi,Mvolo County,Kokor,Apianthic Primary School,Primary,301,0,301
Amadi,Mvolo County,Kokor,Donyireki Primary School,Primary,286,0,286
Amadi,Mvolo County,Kokor,Dullo ALP Centre,ALP,0,0,0
Amadi,Mvolo County,Kokor,Dulo Primary School,Primary,331,0,331
Amadi,Mvolo County,Kokor,Dulo Road Primary School,Primary,418,0,418
