Name,Type,State,County,Latitude,Longitude
Adut Adhot Basic School,PRI,Northern Bahr el Ghazal,Aweil East,9.107817,27.623699
Ayok Anei Girls Primary School,PRI,Northern Bahr el Ghazal,Aweil South,8.72693,27.858101
Agany Amuol Primary,PRI,Warrap,Twic,9.124935471,28.40741571
Malual Agurping Primary School,PRI,Warrap,Gogrial West,8.58682925,28.12137525
Aciira-Jak Primary School,PRI,Warrap,Tonj North,7.8674835,28.79580825
Adoor Basic School,PRI,Northern Bahr el Ghazal,Aweil East,9.0456,27.77375
Abegi Primary School,PRI,Central Equatoria,Yei River,4.01325,30.56505
Mading Abiel Primary School,PRI,Warrap,Twic,9.124935471,28.40741571
Abiriu Boys Primary School,PRI,Lakes,Cueibet,6.936717,29.423901
Abuba Primary School,PRI,Northern Bahr el Ghazal,Aweil Centre,8.90055,26.643467
Adut bul primary,PRI,Warrap,Gogrial West,8.760345286,28.15426457
Little Lamb Academy,PRI,Eastern Equatoria,Kapoeta East,4.579079444,34.11462444
Amada centre Primary School,PRI,Western Equatoria,Mundri West,5.507333,30.339617
Adol Ciluit Primary School,PRI,Lakes,Rumbek Centre,6.826683,29.609949
Acigor Boys Primary School,PRI,Lakes,Yirol East,6.711417,30.497583
Abiey Cok Primary School,PRI,Lakes,Cueibet,6.967733,29.37355
Nyongwa Primary School,PRI,Eastern Equatoria,Magwi,3.831602833,31.958733
Adany Primary,PRI,Northern Bahr el Ghazal,Aweil South,8.6409066,28.1769034
Adior Primary School,PRI,Lakes,Yirol East,6.803433,30.7024
Araka Displaced Primary School,PRI,Western Equatoria,Maridi,4.948783,29.504932
Atuet Dit Primary,PRI,Northern Bahr el Ghazal,Aweil East,9.040316667,27.6637245
Malaga Adventist Primary School,PRI,Western Equatoria,Maridi,5.020025167,29.789614
Nyony Primary School,PRI,Unity,Leer,8.316434389,30.21096106
Aweil Madina (Boys) Primary School,PRI,Northern Bahr el Ghazal,Aweil Town,8.763017,27.398684
Abiriu ECS primary,PRI,Lakes,Cueibet,6.935483333,29.43480583
Ariec Primary School,PRI,Warrap,Tonj South,8.1069166,28.6594268
Panyim Primary,PRI,Jonglei,Nyirol (Diror),8.1915,32.132999
Afa Displaced Primary School,PRI,Western Equatoria,Maridi,4.975933,29.64065
Ambassador for christ Secondary,SEC,Central Equatoria,Morobo,3.713572167,30.94429167
Africa Inland Church Primary,PRI,Eastern Equatoria,Magwi,3.77148696,32.1434993
