Date,Country,Country ISO,Admin 1,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Known Educators Kidnap Or Arrest Outcome,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Known Student Kidnap Or Arrest Outcome,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID,Date Event Entered,Date Event Modified
2025-12-07,South Sudan,SSD,Western Bahr el Ghazal State,Private Travel,Government: Military,South Sudan People's Defence Force,Firearms,Primary School,0,0,0,0,0,0,TRUE,0,0,0,0,,1,0,0,0,,0,0,123107,2026-01-18,2026-02-04
2025-12-03,South Sudan,SSD,Jonglei,Education Building,Government: Military,South Sudan People's Defence Force,Aerial Bomb: Plane,Secondary School,1,0,0,0,0,1,TRUE,0,0,0,0,,1,0,1,0,,0,0,123108,2026-01-18,2026-03-10
2025-12-03,South Sudan,SSD,Jonglei,Education Building,Government: Military,South Sudan People's Defence Force,Aerial Bomb: Plane,Secondary School,1,0,0,0,0,1,TRUE,0,0,0,0,,1,0,1,0,,0,0,124549,2026-02-10,2026-02-13
2025-10-02,South Sudan,SSD,Western Equatoria,Education Building,NSA,SPLA-IO Sudan People's Liberation Army in Opposition,Firearms,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,119436,2025-11-01,2026-02-05
2025-05-09,South Sudan,SSD,Lakes,Unspecified Location,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,4,Freed,0,0,0,0,,0,0,100744,2025-06-17,2026-03-10
2025-02-08,South Sudan,SSD,Western Equatoria,Education Building,Government: Military,South Sudan People's Defence Force,Firearms,Secondary School,1,0,0,0,0,0,TRUE,0,0,0,0,,2,2,0,2,Killed,0,0,95436,2025-05-01,2025-05-25
2024-11-17,South Sudan,SSD,Central Equatoria,Education Building,NSA,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,0,0,0,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,87535,2025-01-21,2025-02-02
2024-06-12,South Sudan,SSD,Central Equatoria,Education Building,Police,South Sudan National Police Service,No Information on the Weapon Used,University,0,1,0,0,0,0,TRUE,0,0,0,0,,0,0,0,0,,0,0,60741,2024-07-28,2025-01-20
2024-01-19,South Sudan,SSD,Warrap,Education Building,NSA,Unidentified Armed Actor,Arson,School: No Further Details,1,0,0,1,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,44441,2024-02-22,2024-12-27
2024-01-12,South Sudan,SSD,Northern Bahr el Ghazal,Education Building,Police,South Sudan National Police Service,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,7,Freed,0,0,0,0,,0,0,44439,2024-02-22,2025-01-10
2023-09-09,South Sudan,SSD,Western Equatoria,Home,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,,0,0,0,0,,0,0,63735,2024-08-09,2026-03-10
2023-08-23,South Sudan,SSD,Western Bahr el Ghazal State,Education Building,Police,South Sudan National Police Service,Firearms,University,0,1,1,0,1,0,TRUE,0,0,0,0,,0,0,0,0,Freed,2,0,41494,2023-10-30,2024-11-24
2023-08-16,South Sudan,SSD,Western Bahr el Ghazal State,Education Building,Police,South Sudan National Police Service,Firearms,University,0,1,1,0,1,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,41143,2023-10-16,2024-11-24
2023-07-06,South Sudan,SSD,Central Equatoria,Education Building,NSA,Dinka Soldiers,Firearms,Secondary School,1,0,0,0,1,0,FALSE,0,0,0,0,,0,0,0,0,,0,0,40654,2023-09-29,2025-01-10
2023-06-15,South Sudan,SSD,Lakes,Unspecified Location,Police,South Sudan National Police Service,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,15,NoInformation,0,0,0,0,,0,0,63736,2024-08-09,2026-03-10
2022-11-09,South Sudan,SSD,Western Bahr el Ghazal State,Education Building,Police,Intelligence/security forces (South Sudan),Firearms,University,0,1,0,0,1,0,TRUE,0,0,1,0,Freed,1,0,0,0,,0,0,36281,2023-01-09,2026-01-01
2022-09-05,South Sudan,SSD,Jonglei,Public Building,No Information,No Information,Firearms,School: No Further Details,1,0,0,0,1,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,34579,2022-09-29,2024-11-24
2022-08-20,South Sudan,SSD,Jonglei,Education Building,NSA,Unidentified Armed Actor,Arson,School: No Further Details,1,0,0,1,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,63856,2024-08-10,2026-03-10
2022-08-20,South Sudan,SSD,Jonglei,Education Building,NSA,Unidentified Armed Actor,Arson,School: No Further Details,1,0,0,1,0,1,FALSE,0,0,0,0,,0,0,0,0,,0,0,63889,2024-08-10,2026-03-10
2022-08-12,South Sudan,SSD,Jonglei,Unspecified Location,Police,South Sudan National Police Service,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,1,NoInformation,0,0,0,0,,0,0,63737,2024-08-09,2026-03-10
