school_name,name_capital letter,"name_en,C,80",school_type1,school_type2,school_type3,school_type4,school_type5,"building,C,80","operator_t,C,80",operator_type,"capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Abeso Primary School,Abeso Primary School,,0,Primary School,0,0,0,,,0,,,,,5674586822,nodes
Aciek Agriculture Training centre,Aciek Agriculture Training Centre,,0,0,0,0,Other or Unknown,,,0,,,,,8997003817,nodes
Adibu Primary,Adibu Primary,,0,Primary School,0,0,0,,,0,,,Aweno Olwi,www.ubos.org,4018757598,nodes
Adotic primary school,Adotic Primary School,,0,Primary School,0,0,0,,,0,,,,,4784254024,nodes
Afonji Primary School,Afonji Primary School,,0,Primary School,0,0,0,,,0,,,,,8625502017,nodes
Agonk bek Secondary School,Agonk Bek Secondary School,,0,0,0,Secondary School,0,,,0,,,Juba,,3713157073,nodes
Agoro Nursery School,Agoro Nursery School,,Nursery School,0,0,0,0,,public,Public,,,Angili,www.ubos.org,3981350261,nodes
Agoro Primary School,Agoro Primary School,,0,Primary School,0,0,0,,private,Private,,,Aludu,www.ubos.org,4009758602,nodes
Aguu Primary School,Aguu Primary School,,0,Primary School,0,0,0,,private,Private,,,Wale,www.ubos.org,4009758601,nodes
Akande Primary School,Akande Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5564478706,nodes
Akka Community Primary School,Akka Community Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5564478708,nodes
Akuem primary school,Akuem Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5564478709,nodes
Akuem primary School,Akuem Primary School,,0,Primary School,0,0,0,,,0,,,,,12101524223,nodes
Alero School,Alero School,,0,0,0,0,Other or Unknown,,,0,,,,,9008744517,nodes
Aligo Primary School,Aligo Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5596056088,nodes
Alimo Primary School,Alimo Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5588234987,nodes
Alipi Primary School,Alipi Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5596056083,nodes
Alliance secondary school,Alliance Secondary School,,0,0,0,Secondary School,0,,,0,,,,,5567194047,nodes
Amadi 2 primary school,Amadi 2 Primary School,,0,Primary School,0,0,0,,,0,,,,,5484142922,nodes
Amadi primary school,Amadi Primary School,,0,Primary School,0,0,0,,,0,,,,,5484112524,nodes
Amalo,Amalo,,0,0,0,0,Other or Unknown,,,0,,,,,5484141521,nodes
Amara(HS-halls),Amara(Hs-Halls),,0,0,0,0,Other or Unknown,,,0,,,,,5484142921,nodes
Amua Primary School,Amua Primary School,,0,Primary School,0,0,0,,,0,,,,,5484133522,nodes
Andiriya Apaya,Andiriya Apaya,,0,Primary School,0,0,0,,,0,,,,,5484125726,nodes
Apwoyo Primary School,Apwoyo Primary School,,0,Primary School,0,0,0,,,0,,,,,5484133523,nodes
Arra Primary School,Arra Primary School,,0,Primary School,0,0,0,,,0,,,,,5484138621,nodes
Athian primary school,Athian Primary School,,0,Primary School,0,0,0,,public,Public,,,Akande,www.ubos.org,3980676942,nodes
Ayaa Primary School,Ayaa Primary School,,0,Primary School,0,0,0,,,0,,,,,5427238121,nodes
Ayipe Cope Primary School,Ayipe Cope Primary School,,0,Primary School,0,0,0,,,0,,,,,5428135922,nodes
Baac primary school,Baac Primary School,,0,Primary School,0,0,0,,,0,,,,,5414591622,nodes
Banika Islamic Primary School,Banika Islamic Primary School,,0,Primary School,0,0,0,,,0,,,,,10214491847,nodes
Bari Displace,Bari Displace,,0,Primary School,0,0,0,,,0,,,,,11805274275,nodes
Bari primary school,Bari Primary School,,0,Primary School,0,0,0,,,0,,,Congo,www.ubos.org,4011863922,nodes
Baya memorial secondary school,Baya Memorial Secondary School,,0,0,0,Secondary School,0,,,0,,,Central II,www.ubos.org,4011863941,nodes
Baya Primary,Baya Primary,,0,Primary School,0,0,0,,,0,,,Moyipi,www.ubos.org,4011863939,nodes
Benagoro Primary School,Benagoro Primary School,,0,Primary School,0,0,0,,,0,,,Tendele,www.ubos.org,3991260463,nodes
Besia Primary School,Besia Primary School,,0,Primary School,0,0,0,,,0,,,,,4135017673,nodes
Bishop Asili Senior Secondary School,Bishop Asili Senior Secondary School,,0,Primary School,0,Secondary School,0,,,0,,,,,11673278670,nodes
Bishop Gwynne School of Theology,Bishop Gwynne School Of Theology,,0,Primary School,0,0,0,,,0,,,,,11673280769,nodes
Bitti primary school,Bitti Primary School,,0,Primary School,0,0,0,,,0,,,,,5237808321,nodes
Bright hope secondary school,Bright Hope Secondary School,,0,Primary School,0,Secondary School,0,,public,Public,,,Yweyope,www.ubos.org,4025358126,nodes
Bright Junior Nursery And Primary School,Bright Junior Nursery And Primary School,,Nursery School,Primary School,0,0,0,,,0,,,,,11648884451,nodes
Bura Primary School,Bura Primary School,,0,Primary School,0,0,0,,,0,,,Ubbi North,www.ubos.org,4011877449,nodes
Chokokbid Nursery School,Chokokbid Nursery School,,Nursery School,0,0,0,0,,public,Public,,,Ogolo South,www.ubos.org,4011877444,nodes
City Academy Secondary school,City Academy Secondary School,,0,0,0,Secondary School,0,,public,Public,,,Obero,www.ubos.org,4011769443,nodes
Crop Training Centre (CTC),Crop Training Centre (Ctc),Kai Gai Primary,0,Primary School,0,0,0,,,0,,,,,4930493021,nodes
CWEP ITC,Cwep Itc,,0,Primary School,0,0,0,,,0,,,Eria South,www.ubos.org,4011863926,nodes
DAR EL SALAAM PRIMARY SCHOOL,Dar El Salaam Primary School,,0,Primary School,0,0,0,,,0,,,,,9879216217,nodes
Disu nursery school,Disu Nursery School,,Nursery School,0,0,0,0,,private,Private,,,Angula Odiciri,www.ubos.org,6082843154,nodes
Dong Abel Primary School,Dong Abel Primary School,,0,Primary School,0,0,0,,private,Private,,,Pobar Central,www.ubos.org,4025358118,nodes
Dongoda,Dongoda,,0,0,0,0,Other or Unknown,,,0,,,,,6494910484,nodes
Dufile Primary School,Dufile Primary School,,0,Primary School,0,0,0,,religious,Religious,,,,,9794666104,nodes
Eden Nursery School,Eden Nursery School,,Nursery School,0,0,0,0,,,0,,,Afoji,www.ubos.org,3961481601,nodes
Elegu Primary School,Elegu Primary School,,0,Primary School,0,0,0,,,0,,,Eria North,www.ubos.org,4011863916,nodes
EMMA memorial academy,Emma Memorial Academy,,0,0,0,0,Other or Unknown,,,0,,,Lama,www.ubos.org,4011863928,nodes
Emma memorial secondary school,Emma Memorial Secondary School,,0,0,0,Secondary School,0,,public,Public,,,Maru,www.ubos.org,3980676944,nodes
Emmanuel and Moni Nursery and primary school,Emmanuel And Moni Nursery And Primary School,,Nursery School,Primary School,0,0,0,,public,Public,,,Lokopio,www.ubos.org,3980676950,nodes
emmanuel kintergarden nursery school,Emmanuel Kintergarden Nursery School,,Nursery School,0,0,0,0,,Public,Public,,,Nandre,www.ubos.org,4009758605,nodes
EPC Nehemiah Primary School,Epc Nehemiah Primary School,,0,Primary School,0,0,0,,Public,Public,,,Gadania,www.ubos.org,4009758598,nodes
Era Primary School,Era Primary School,,0,Primary School,0,0,0,,Public,Public,,,Juba,www.ubos.org,4009758599,nodes
Eremi Primary School,Eremi Primary School,,0,Primary School,0,0,0,,,0,,,Banika,www.ubos.org,4009758589,nodes
Erepi Primary School,Erepi Primary School,,0,Primary School,0,0,0,,public,Public,,,Toligamago,www.ubos.org,3981533360,nodes
Erepi Primary Teachers College,Erepi Primary Teachers College,,0,Primary School,College,0,0,,,0,,,,,5632922721,nodes
Eria Primary School,Eria Primary School,,0,Primary School,0,0,0,,,0,,,,,5567194046,nodes
Etele Primary School,Etele Primary School,,0,Primary School,0,0,0,,,0,,,,,3740216979,nodes
Ezibon Mandiri secondary school,Ezibon Mandiri Secondary School,,0,0,0,Secondary School,0,,,0,,,,,9035500324,nodes
Ezra baya memorials primary school,Ezra Baya Memorials Primary School,,0,Primary School,0,0,0,,religious,Religious,,,,,8971387980,nodes
Faka primary school,Faka Primary School,,0,Primary School,0,0,0,,religious,Religious,,,,,8974883276,nodes
Fataha Primary School,Fataha Primary School,,0,Primary School,0,0,0,,,0,,,,,4563411302,nodes
Father Biribawo Primary School,Father Biribawo Primary School,,0,Primary School,0,0,0,,,0,,,,,4784253924,nodes
Father Biribawo Secondary School,Father Biribawo Secondary School,,0,0,0,Secondary School,0,,Private,Private,,,Gadania,www.ubos.org,4009758606,nodes
Fundraising nursery and primary school,Fundraising Nursery And Primary School,,Nursery School,Primary School,0,0,0,,,0,,,,,4135003338,nodes
Gbari Primary School,Gbari Primary School,,0,Primary School,0,0,0,,,0,,,,,9387578321,nodes
Geria Bush school,Geria Bush School,,0,0,0,0,Other or Unknown,,,0,,,,,10570436118,nodes
Goboro Primary School,Goboro Primary School,,0,Primary School,0,0,0,,,0,,,,,9387601518,nodes
Goboro Primary School,Goboro Primary School,,0,Primary School,0,0,0,,,0,,,,,5484114125,nodes
