Admin1,Admin2,Admin2_Pcode,Age_Group,Population_Count
Abyei Administrative Area,Abyei Administrative Area,SS0001,Male_Under_5,13954.368
Central Equatoria,Juba,SS0101,Male_Under_5,42241.726166933695
Central Equatoria,Kajo-keji,SS0102,Male_Under_5,4205.225570812271
Central Equatoria,Lainya,SS0103,Male_Under_5,12511.285676616184
Central Equatoria,Morobo,SS0104,Male_Under_5,11140.775324546092
Central Equatoria,Terekeka,SS0105,Male_Under_5,23602.31787093024
Central Equatoria,Yei,SS0106,Male_Under_5,30729.04200518573
Eastern Equatoria,Budi,SS0201,Male_Under_5,11237.885300477654
Eastern Equatoria,Ikotos,SS0202,Male_Under_5,12904.270917007345
Eastern Equatoria,Kapoeta East,SS0203,Male_Under_5,23110.274963755324
Eastern Equatoria,Kapoeta North,SS0204,Male_Under_5,17675.2418920249
Eastern Equatoria,Kapoeta South,SS0205,Male_Under_5,9812.55545604283
Eastern Equatoria,Lafon,SS0206,Male_Under_5,19815.81156311258
Eastern Equatoria,Magwi,SS0207,Male_Under_5,40834.11699239408
Eastern Equatoria,Torit,SS0208,Male_Under_5,7045.2758915497225
Jonglei,Akobo,SS0301,Male_Under_5,22304.50925916192
Jonglei,Ayod,SS0302,Male_Under_5,18205.258529388164
Jonglei,Bor South,SS0303,Male_Under_5,47282.99409459608
Jonglei,Canal/Pigi,SS0304,Male_Under_5,10134.472966820487
Jonglei,Duk,SS0305,Male_Under_5,23133.089543347825
Jonglei,Fangak,SS0306,Male_Under_5,21068.57835890312
Jonglei,Nyirol,SS0307,Male_Under_5,13796.538299040774
Jonglei,Pibor,SS0308,Male_Under_5,32557.925661540925
Jonglei,Pochalla,SS0309,Male_Under_5,11229.201599128955
Jonglei,Twic East,SS0310,Male_Under_5,9567.885980338193
Jonglei,Uror,SS0311,Male_Under_5,29523.36271187838
Lakes,Awerial,SS0401,Male_Under_5,9143.744741895232
Lakes,Cueibet,SS0402,Male_Under_5,14265.589202135356
Lakes,Rumbek Centre,SS0403,Male_Under_5,18044.515019193477
Lakes,Rumbek East,SS0404,Male_Under_5,16794.0200008847
Lakes,Rumbek North,SS0405,Male_Under_5,7166.965292326154
Lakes,Wulu,SS0406,Male_Under_5,7425.855811904031
Lakes,Yirol East,SS0407,Male_Under_5,17907.533312189178
Lakes,Yirol West,SS0408,Male_Under_5,16174.184812233669
Northern Bahr el Ghazal,Aweil Centre,SS0501,Male_Under_5,13975.641047839756
Northern Bahr el Ghazal,Aweil East,SS0502,Male_Under_5,33798.68992586888
Northern Bahr el Ghazal,Aweil North,SS0503,Male_Under_5,14799.986217577913
Northern Bahr el Ghazal,Aweil South,SS0504,Male_Under_5,16676.43976687324
Northern Bahr el Ghazal,Aweil West,SS0505,Male_Under_5,22763.63071237517
Unity,Abiemnhom,SS0601,Male_Under_5,5992.694690678238
Unity,Guit,SS0602,Male_Under_5,8643.780616406128
Unity,Koch,SS0603,Male_Under_5,10018.739209624971
Unity,Leer,SS0604,Male_Under_5,7940.740261009639
