Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025,"% Male children
 under 5","No. of Male
children under 5","% Female
children under 5","No. of Female
children under 5","% Male children 
aged 5 - 17 years","No. of Male children 
aged 5 - 17 years","% Female children 
aged 5 - 17 years","No. of Female 
children aged 5 - 17 years","% Male adults 
aged 18 - 60","No. of  Male 
adults aged 18 - 60","% Female adults 
aged 18 - 60","No. of Female 
adults aged 18 - 60","% Male adults 
aged over 60","No. of Male adults 
aged over 60","% Female adults 
aged over 60","No. Female adults 
aged over 60"
Abyei Administrative Area,SS00,Abyei Administrative Area,Abyei Administrative Area,SS0001,145358.0,0.096,13954.368,0.089,12936.862,0.177,25728.365999999998,0.173,25146.933999999997,0.19,27618.02,0.202,29362.316000000003,0.034,4942.1720000000005,0.039,5668.962
Central Equatoria,SS01,Juba,,SS0101,570834.1373909959,0.074,42241.726166933695,0.0974,55599.244981883,0.154,87908.45715821336,0.159,90762.62784516835,0.23199999999999998,132433.51987471103,0.241,137571.02711123,0.023499999999999997,13414.602228688402,0.0191,10902.93202416802
Central Equatoria,SS01,Kajo-keji,,SS0102,257989.29882283875,0.0163,4205.225570812271,0.0301,7765.477894567446,0.0575,14834.38468231323,0.0581,14989.178261606932,0.328,84620.49001389112,0.32,82556.57562330841,0.127,32764.64095050052,0.063,16253.325825838841
Central Equatoria,SS01,Lainya,,SS0103,119155.1016820589,0.105,12511.285676616184,0.101,12034.66526988795,0.11,13107.06118502648,0.104,12392.130574934125,0.28600000000000003,34078.35908106885,0.234,27882.293793601784,0.026999999999999996,3217.1877454155897,0.033,3932.1183555079438
Central Equatoria,SS01,Morobo,,SS0104,136696.6297490318,0.0815,11140.775324546092,0.105,14353.146123648337,0.17800000000000002,24332.00009532766,0.163,22281.550649092183,0.21799999999999997,29799.865285288928,0.203,27749.415839053458,0.032600000000000004,4456.310129818437,0.0189,2583.566302256701
Central Equatoria,SS01,Terekeka,,SS0105,266692.85729864676,0.0885,23602.317870930237,0.0831,22162.176441517546,0.18099999999999997,48271.407171055056,0.164,43737.62859697807,0.1934,51578.39860155828,0.231,61606.050035987406,0.0186,4960.48714575483,0.0404,10774.391434865329
Central Equatoria,SS01,Yei,,SS0106,327601.72713417624,0.0938,30729.04200518573,0.122,39967.4107103695,0.14600000000000002,47829.85216158973,0.189,61916.72642835931,0.174,57002.70052134666,0.193,63227.13333689602,0.0532,17428.411883538174,0.029,9500.450086891111
Eastern Equatoria,SS02,Budi,,SS0201,108473.79633665689,0.1036,11237.885300477654,0.0978,10608.737281725043,0.189,20501.54750762815,0.173,18765.96676624164,0.16,17355.807413865103,0.22,23864.235194064517,0.018099999999999998,1963.3757136934894,0.0385,4176.24115896129
Eastern Equatoria,SS02,Ikotos,,SS0202,111147.89764864207,0.1161,12904.270917007345,0.105,11670.529253107417,0.158,17561.367828485447,0.156,17339.072033188164,0.171,19006.290497917795,0.218,24230.24168740397,0.0278,3089.9115546322496,0.0481,5346.213876899684
Eastern Equatoria,SS02,Kapoeta East,,SS0203,175077.84063451004,0.132,23110.274963755324,0.0871,15249.279919265824,0.1716,30043.357452881923,0.17,29763.23290786671,0.19300000000000003,33790.02324246044,0.211,36941.424373881615,0.0192,3361.4945401825926,0.0161,2818.7532342156114
Eastern Equatoria,SS02,Kapoeta North,,SS0204,162158.1824956413,0.109,17675.2418920249,0.107,17350.925527033618,0.212,34377.534689075954,0.167,27080.416476772098,0.162,26269.62556429389,0.171,27729.049206754662,0.0343,5562.025659600496,0.0377,6113.363480085676
Eastern Equatoria,SS02,Kapoeta South,,SS0205,105511.34898970785,0.093,9812.55545604283,0.102,10762.157596950201,0.2188,23085.88315894808,0.205,21629.82654289011,0.183,19308.576865116538,0.188,19836.133610065077,0.006260000000000001,660.5010446755713,0.00394,415.71471501944893
