"name,C,80","name_en,C,80","amenity,C,80","building,C,80","operator_t,C,80","capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Rubeke p school,,school,,,,,,,5674586822,nodes
Bura Primary School,,school,,,,,,,8997003817,nodes
Aguu Primary School,,school,,,,,Aweno Olwi,www.ubos.org,4018757598,nodes
Light house school,,school,,,,,,,4784254024,nodes
Orphanage Primary,,school,,,,,,,8625502017,nodes
St Mary's College,,university,,,,,Juba,,3713157073,nodes
Lunguma Primary School,,school,,public,,,Angili,www.ubos.org,3981350261,nodes
Merwa Progressive College,,school,,private,,,Aludu,www.ubos.org,4009758602,nodes
Merwa Primary School,,school,,private,,,Wale,www.ubos.org,4009758601,nodes
St. John Bugo Nursery And Primary School,,kindergarten,,,,,,HOT-Uganda,5564478706,nodes
Chokokbid Nursery School,,kindergarten,,,,,,HOT-Uganda,5564478708,nodes
St Augustine Nursery School Mijale,,kindergarten,,,,,,HOT-Uganda,5564478709,nodes
Nasir Primary and Secondary School,,school,,,,,,,12101524223,nodes
Lafon Primary School,,school,,,,,,,9008744517,nodes
St Kizito Primary School,,school,,,,,,HOT-Uganda,5596056088,nodes
Kendra Primary School,,school,,,,,,HOT-Uganda,5588234987,nodes
Kilaji Primary School,,school,,,,,,HOT-Uganda,5596056083,nodes
Rubeke s s,,school,,,,,,,5567194047,nodes
Riangmal primary school,,school,,,,,,,5484142922,nodes
Halbul primary school,,school,,,,,,,5484112524,nodes
Adotic primary school,,school,,,,,,,5484141521,nodes
Athian p school,,school,,,,,,,5484142921,nodes
Malualbai p school,,school,,,,,,,5484133522,nodes
Rumaker p school,,school,,,,,,,5484125726,nodes
Baac p school,,school,,,,,,,5484133523,nodes
Omdurman p school,,school,,,,,,,5484138621,nodes
Akande Primary School,,school,,public,,,Akande,www.ubos.org,3980676942,nodes
Majak p. School,,school,,,,,,,5427238121,nodes
Majak primary school,,school,,,,,,,5428135922,nodes
Makuen Agap p. school,,school,,,,,,,5414591622,nodes
Magwi Central Primary School,,school,,,,,,,10214491847,nodes
,,school,,,,,,,11805274275,nodes
Home Dave Primary School,,school,,,,,Congo,www.ubos.org,4011863922,nodes
Noor Primary School,,school,,,,,Central II,www.ubos.org,4011863941,nodes
Moyo Technical Institute,,school,,,,,Moyipi,www.ubos.org,4011863939,nodes
Tendele Community School,,school,,,,,Tendele,www.ubos.org,3991260463,nodes
Crop Training Centre (CTC),,college,,,,,,,4135017673,nodes
Lerwa primary school,,school,,,,,,,11673278670,nodes
Palmar primary school,,school,,,,,,,11673280769,nodes
Jebel church,,school,,,,,,,5237808321,nodes
Palacam Primary School,,school,,public,,,Yweyope,www.ubos.org,4025358126,nodes
