Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025," % Male children
 under 5 "," No. of Male
children under 5 "," % Female
children under 5 "," No. of Female
children under 5 "," % Male children 
aged 5 - 17 years "," No. of Male children 
aged 5 - 17 years "," % Female children 
aged 5 - 17 years "," No. of Female 
children aged 5 - 17 years "," % Male adults 
aged 18 - 60 "," No. of  Male 
adults aged 18 - 60 "," % Female adults 
aged 18 - 60 "," No. of Female 
adults aged 18 - 60 "," % Male adults 
aged over 60 "," No. of Male adults 
aged over 60 "," % Female adults 
aged over 60 "," No. Female adults 
aged over 60 "
Abyei Administrative Area,SS00,Abyei Administrative Area,Abyei Administrative Area,SS0001," 145,358 ",10%," 13,954 ",9%," 12,937 ",18%," 25,728 ",17%," 25,147 ",19%," 27,618 ",20%," 29,362 ",3%," 4,942 ",4%," 5,669 "
Central Equatoria,SS01,Juba,,SS0101," 570,834 ",7%," 42,242 ",10%," 55,599 ",15%," 87,908 ",16%," 90,763 ",23%," 132,434 ",24%," 137,571 ",2%," 13,415 ",2%," 10,903 "
Central Equatoria,SS01,Kajo-keji,,SS0102," 257,989 ",2%," 4,205 ",3%," 7,765 ",6%," 14,834 ",6%," 14,989 ",33%," 84,620 ",32%," 82,557 ",13%," 32,765 ",6%," 16,253 "
Central Equatoria,SS01,Lainya,,SS0103," 119,155 ",11%," 12,511 ",10%," 12,035 ",11%," 13,107 ",10%," 12,392 ",29%," 34,078 ",23%," 27,882 ",3%," 3,217 ",3%," 3,932 "
Central Equatoria,SS01,Morobo,,SS0104," 136,697 ",8%," 11,141 ",11%," 14,353 ",18%," 24,332 ",16%," 22,282 ",22%," 29,800 ",20%," 27,749 ",3%," 4,456 ",2%," 2,584 "
Central Equatoria,SS01,Terekeka,,SS0105," 266,693 ",9%," 23,602 ",8%," 22,162 ",18%," 48,271 ",16%," 43,738 ",19%," 51,578 ",23%," 61,606 ",2%," 4,960 ",4%," 10,774 "
Central Equatoria,SS01,Yei,,SS0106," 327,602 ",9%," 30,729 ",12%," 39,967 ",15%," 47,830 ",19%," 61,917 ",17%," 57,003 ",19%," 63,227 ",5%," 17,428 ",3%," 9,500 "
Eastern Equatoria,SS02,Budi,,SS0201," 108,474 ",10%," 11,238 ",10%," 10,609 ",19%," 20,502 ",17%," 18,766 ",16%," 17,356 ",22%," 23,864 ",2%," 1,963 ",4%," 4,176 "
Eastern Equatoria,SS02,Ikotos,,SS0202," 111,148 ",12%," 12,904 ",11%," 11,671 ",16%," 17,561 ",16%," 17,339 ",17%," 19,006 ",22%," 24,230 ",3%," 3,090 ",5%," 5,346 "
Eastern Equatoria,SS02,Kapoeta East,,SS0203," 175,078 ",13%," 23,110 ",9%," 15,249 ",17%," 30,043 ",17%," 29,763 ",19%," 33,790 ",21%," 36,941 ",2%," 3,361 ",2%," 2,819 "
Eastern Equatoria,SS02,Kapoeta North,,SS0204," 162,158 ",11%," 17,675 ",11%," 17,351 ",21%," 34,378 ",17%," 27,080 ",16%," 26,270 ",17%," 27,729 ",3%," 5,562 ",4%," 6,113 "
Eastern Equatoria,SS02,Kapoeta South,,SS0205," 105,511 ",9%," 9,813 ",10%," 10,762 ",22%," 23,086 ",21%," 21,630 ",18%," 19,309 ",19%," 19,836 ",1%, 661 ,0%, 416 
Eastern Equatoria,SS02,Lafon,Lafon/Lopa,SS0206," 163,767 ",12%," 19,816 ",14%," 22,109 ",15%," 23,910 ",18%," 30,133 ",19%," 30,788 ",19%," 31,607 ",1%," 1,474 ",2%," 3,930 "
Eastern Equatoria,SS02,Magwi,,SS0207," 314,109 ",13%," 40,834 ",9%," 28,835 ",16%," 51,420 ",15%," 46,488 ",19%," 58,110 ",20%," 63,764 ",3%," 10,774 ",4%," 13,884 "
Eastern Equatoria,SS02,Torit,,SS0208," 65,844 ",11%," 7,045 ",12%," 7,704 ",15%," 9,679 ",18%," 12,115 ",20%," 13,103 ",21%," 13,630 ",1%, 724 ,3%," 1,844 "
Jonglei,SS03,Akobo,,SS0301," 238,042 ",9%," 22,305 ",8%," 18,234 ",18%," 42,133 ",16%," 37,849 ",18%," 42,062 ",21%," 49,989 ",4%," 9,807 ",7%," 15,663 "
Jonglei,SS03,Ayod,,SS0302," 205,709 ",9%," 18,205 ",10%," 19,789 ",17%," 34,559 ",15%," 31,062 ",21%," 43,199 ",21%," 42,582 ",3%," 6,233 ",5%," 10,080 "
Jonglei,SS03,Bor South,,SS0303," 354,711 ",13%," 47,283 ",9%," 32,066 ",17%," 58,882 ",16%," 54,980 ",17%," 60,656 ",22%," 79,455 ",4%," 13,231 ",2%," 8,158 "
Jonglei,SS03,Canal/Pigi,Pigi,SS0304," 111,613 ",9%," 10,134 ",6%," 7,154 ",14%," 15,737 ",15%," 17,188 ",21%," 23,774 ",24%," 26,899 ",5%," 5,201 ",5%," 5,525 "
Jonglei,SS03,Duk,,SS0305," 206,545 ",11%," 23,133 ",10%," 19,787 ",18%," 36,352 ",16%," 32,841 ",19%," 38,686 ",21%," 43,168 ",2%," 5,060 ",4%," 7,518 "
Jonglei,SS03,Fangak,Old Fangak,SS0306," 213,029 ",10%," 21,069 ",11%," 23,646 ",21%," 44,949 ",16%," 34,724 ",19%," 40,092 ",15%," 31,528 ",3%," 6,838 ",5%," 10,183 "
Jonglei,SS03,Nyirol,,SS0307," 153,295 ",9%," 13,797 ",8%," 11,727 ",22%," 33,418 ",19%," 29,341 ",16%," 24,527 ",19%," 28,513 ",3%," 4,292 ",5%," 7,680 "
Jonglei,SS03,Pibor,,SS0308," 237,649 ",14%," 32,558 ",12%," 27,805 ",14%," 32,796 ",16%," 36,836 ",17%," 40,804 ",20%," 46,579 ",3%," 7,391 ",5%," 12,881 "
Jonglei,SS03,Pochalla,,SS0309," 82,568 ",14%," 11,229 ",10%," 8,521 ",20%," 16,101 ",17%," 14,367 ",11%," 8,670 ",27%," 22,458 ",1%, 532 ,1%, 690 
Jonglei,SS03,Twic East,,SS0310," 129,822 ",7%," 9,568 ",8%," 10,827 ",15%," 19,733 ",17%," 22,459 ",18%," 23,368 ",26%," 33,234 ",4%," 5,349 ",4%," 5,284 "
Jonglei,SS04,Uror,,SS0311," 205,594 ",14%," 29,523 ",13%," 26,522 ",14%," 29,606 ",18%," 36,596 ",18%," 37,624 ",19%," 39,680 ",1%," 2,590 ",2%," 3,454 "
Lakes,SS04,Awerial,,SS0401," 144,223 ",6%," 9,144 ",6%," 8,798 ",23%," 32,739 ",23%," 33,748 ",18%," 25,585 ",19%," 27,979 ",2%," 2,769 ",2%," 3,461 "
Lakes,SS04,Cueibet,,SS0402," 189,199 ",8%," 14,266 ",4%," 8,060 ",23%," 42,570 ",20%," 38,597 ",18%," 33,488 ",17%," 31,407 ",5%," 9,422 ",6%," 11,390 "
Lakes,SS04,Rumbek Centre,,SS0403," 222,497 ",8%," 18,045 ",6%," 12,393 ",22%," 49,172 ",23%," 50,284 ",20%," 43,609 ",19%," 42,942 ",1%," 2,292 ",2%," 3,760 "
Lakes,SS04,Rumbek East,,SS0404," 180,970 ",9%," 16,794 ",8%," 14,152 ",18%," 33,099 ",20%," 36,918 ",20%," 36,013 ",20%," 36,194 ",2%," 2,859 ",3%," 4,940 "
Lakes,SS04,Rumbek North,,SS0405," 75,047 ",10%," 7,167 ",10%," 7,325 ",20%," 15,234 ",22%," 16,210 ",15%," 11,332 ",17%," 12,758 ",3%," 2,379 ",4%," 2,642 "
