State,County,Pcode,Population_Under_17
Abyei Administrative Area,Abyei Administrative Area,SS0001,77766
Central Equatoria,Juba,SS0101,276512
Central Equatoria,Kajo-keji,SS0102,41793
Central Equatoria,Lainya,SS0103,50045
Central Equatoria,Morobo,SS0104,72108
Central Equatoria,Terekeka,SS0105,137773
Central Equatoria,Yei,SS0106,180443
Eastern Equatoria,Budi,SS0201,61115
Eastern Equatoria,Ikotos,SS0202,59475
Eastern Equatoria,Kapoeta East,SS0203,98165
Eastern Equatoria,Kapoeta North,SS0204,96484
Eastern Equatoria,Kapoeta South,SS0205,65291
Eastern Equatoria,Lafon,SS0206,95968
Eastern Equatoria,Magwi,SS0207,167577
Eastern Equatoria,Torit,SS0208,36543
Jonglei,Akobo,SS0301,120521
Jonglei,Ayod,SS0302,103615
Jonglei,Bor South,SS0303,193211
Jonglei,Canal/Pigi,SS0304,50213
Jonglei,Duk,SS0305,112113
Jonglei,Fangak,SS0306,124388
Jonglei,Nyirol,SS0307,88283
Jonglei,Pibor,SS0308,129995
Jonglei,Pochalla,SS0309,50218
Jonglei,Twic East,SS0310,62587
Jonglei,Uror,SS0311,122247
Lakes,Awerial,SS0401,84429
Lakes,Cueibet,SS0402,103493
Lakes,Rumbek Centre,SS0403,129894
Lakes,Rumbek East,SS0404,100963
Lakes,Rumbek North,SS0405,45936
Lakes,Wulu,SS0406,50930
Lakes,Yirol East,SS0407,88544
Lakes,Yirol West,SS0408,97770
Northern Bahr el Ghazal,Aweil Centre,SS0501,46561
Northern Bahr el Ghazal,Aweil East,SS0502,235325
Northern Bahr el Ghazal,Aweil North,SS0503,108880
Northern Bahr el Ghazal,Aweil South,SS0504,82487
Northern Bahr el Ghazal,Aweil West,SS0505,134350
Unity,Abiemnhom,SS0601,31847
Unity,Guit,SS0602,43736
Unity,Koch,SS0603,61264
Unity,Leer,SS0604,45519
Unity,Mayendit,SS0605,41092
Unity,Mayom,SS0606,97367
Unity,Panyijiar,SS0607,73559
Unity,Pariang,SS0608,80013
Unity,Rubkona,SS0609,191538
Upper Nile,Baliet,SS0701,46524
Upper Nile,Fashoda,SS0702,45658
Upper Nile,Longochuk,SS0703,44507
Upper Nile,Luakpiny/Nasir,SS0704,203256
Upper Nile,Maban,SS0705,48768
Upper Nile,Maiwut,SS0706,80592
Upper Nile,Malakal,SS0707,47337
Upper Nile,Manyo,SS0708,34825
Upper Nile,Melut,SS0709,82806
Upper Nile,Panyikang,SS0710,16509
Upper Nile,Renk,SS0711,122782
Upper Nile,Ulang,SS0712,85841
Warrap,Gogrial East,SS0801,77558
Warrap,Gogrial West,SS0802,194158
Warrap,Tonj East,SS0803,108542
Warrap,Tonj North,SS0804,139463
Warrap,Tonj South,SS0805,67652
Warrap,Twic,SS0806,164943
Western Bahr el Ghazal,Jur River,SS0901,173602
Western Bahr el Ghazal,Raja,SS0902,43036
Western Bahr el Ghazal,Wau,SS0903,196222
Western Equatoria,Ezo,SS1001,69324
Western Equatoria,Ibba,SS1002,36507
Western Equatoria,Maridi,SS1003,58093
Western Equatoria,Mundri East,SS1004,48615
Western Equatoria,Mundri West,SS1005,29099
Western Equatoria,Mvolo,SS1006,43261
Western Equatoria,Nagero,SS1007,26964
Western Equatoria,Nzara,SS1008,46822
Western Equatoria,Tambura,SS1009,64235
Western Equatoria,Yambio,SS1010,90483
